Subject,Start date,Start time,End Date,End Time,All Day Event,Description,Location,Private
BN Staff Meeting,2019/02/26,05:45,,,,Personnel: BN Staff; UOD: NWUs/MARPATs; Execution Location: Battalion Spaces,Battalion Spaces,
Muster/Quarters,2019/02/26,06:10,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: Gym Deck,Gym Deck,
Formation,2019/02/26,06:15,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: Gym Deck,Gym Deck,
Pledge of Allegiance,2019/02/26,06:20,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: 202,202,
Announcements,2019/02/26,06:22,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: 202,202,
Colorado Brief,2019/02/26,06:25,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: 202.0,202,
Head & Water,2019/02/26,06:35,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: 202,202,
ATFP,2019/02/26,06:40,,,,Personnel: Alpha Company; UOD: NWUs/MARPATs; Execution Location: Gym Deck,Gym Deck,
5 PO Brief,2019/02/26,06:40,,,,Personnel: Charlie Company; UOD: NWUs/MARPATs; Execution Location: 205,205,
Drill Showcase,2019/02/26,07:50,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: Gym Deck,Gym Deck,
CO's Remarks,2019/02/26,08:25,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: Gym Deck,Gym Deck,
Dismissed,2019/02/26,08:35,,,,Personnel: Battalion; UOD: NWUs/MARPATs; Execution Location: Gym Deck,Gym Deck,
Unit Staff Meeting,2019/02/26,08:40,,,,Personnel: BN Staff; UOD: NWUs/MARPATs; Execution Location: Main Office,Main Office,
COD Practice,2019/02/27,05:30,,,,Personnel: COD Team; UOD: BN PT Shirts; Execution Location: Gym Deck,Gym Deck,
Initial Swim Qual & Swim PT,2019/02/27,06:15,,,,Personnel: Battalion; UOD: Swim Gear; Execution Location: UMN Natatorium,UMN Natatorium,
All Hands Field Day,2019/02/27,07:30,,,,Personnel: Battalion; UOD: BN PT Shirts; Execution Location: Armory,Armory,
Gen. Powell Leadership Academy Career Fair,2019/02/27,12:30,,,,Personnel: Volunteers; UOD: Khakis; Execution Location: Minehaha Center,Gym Deck,
COD Practice,2019/02/28,06:00,,,,Personnel: COD Team; UOD: Khakis; Execution Location: Fieldhouse,Gym Deck,
Color Guard Practice,2019/02/28,08:15,,,,Personnel: Color Guard Team; UOD: NWUs/MARPATs; Execution Location: Gym Deck,Gym Deck,
Depart for Colorado,2019/02/28,18:45,,,,Personnel: Drill Teams; UOD: PCA w/ Unit Polo; Execution Location: Gym Deck,Gym Deck,
Colorado Drill Meet,2019/03/01,,,,1,Personnel: None; UOD: None; Execution Location: None,,
Colorado Drill Meet,2019/03/02,,,,1,Personnel: None; UOD: None; Execution Location: None,,
Return from Colorado,2019/03/03,22:00,,,,Personnel: Drill Teams; UOD: PCA w/ Unit Polo; Execution Location: Gym Deck,Gym Deck,
